Volume,46366980.0,39992748.0,24299170.0,42825092.0,23748034.0,26745684.0,18152384.0,20900046.0,28771292.0,34540244.0,17252576.0,25054244.0,26263150.0,83589210.0,16100660.0,9832978.0,20726848.0,27503200.0,17906290.0,13985688.0
Open,0.3354,0.32141,0.3223,0.3236,0.32026,0.32314,0.31943,0.3185,0.31,0.2976,0.29238,0.32742,0.31582,0.31253,0.31583,0.3057,0.30148,0.3037,0.2939,0.295
High,0.33797,0.3271,0.32708,0.32586,0.32612,0.32467,0.32529,0.31919,0.31159,0.2997,0.33298,0.3428,0.31741,0.31884,0.31768,0.30939,0.30604,0.30462,0.29896,0.3259
Low,0.31545,0.31726,0.31,0.318,0.318,0.31445,0.3185,0.30688,0.28625,0.28524,0.28955,0.30809,0.3008,0.30743,0.30115,0.29816,0.29918,0.291,0.29381,0.29266
Close,0.32131,0.32213,0.324,0.32046,0.3231,0.31949,0.3185,0.31019,0.2977,0.29254,0.32745,0.31544,0.31253,0.3157,0.3059,0.30148,0.3034,0.29389,0.29497,0.31746
Volume,22763020.0,10982174.0,18991136.0,8917700.0,10401775.0,8894688.0,8655511.0,13372613.0,31193342.0,17910868.0,49330596.0,49070360.0,26083292.0,18111858.0,18787098.0,12609727.0,8865284.0,16115222.0,8770055.0,35702296.0
Open,1061.6,1047.7,1046.1,1113.5,1245.5,1174.3,1076.9,1119.8,1035.5,923.77,972.1,825.2,697.62,781.98,751.27,813.41,878.01,851.66,810.45,866.45
High,1102.4,1078.6,1125.4,1265.0,1260.0,1183.0,1128.8,1179.4,1039.1,999.0,972.8,858.6,799.0,848.99,847.0,883.46,909.04,854.99,876.61,869.28
Low,1023.1,983.0,1031.4,1108.9,1154.5,1041.0,1025.0,985.0,768.0,845.0,771.0,641.01,565.54,716.3,749.69,780.53,815.0,778.47,810.18,821.11
Close,1048.2,1046.9,1113.9,1245.5,1174.3,1076.9,1120.0,1035.0,923.13,972.1,825.3,698.62,782.99,752.88,813.11,878.01,851.03,810.46,866.4,839.83
Volume,162053.5,138706.75,105775.28,189342.7,139630.83,246828.77,136714.86,285589.4,520780.56,211353.88,340168.03,547559.1,790355.8,416880.12,236095.22,182418.45,165702.84,146897.05,130220.05,130395.93
Open,937.38,973.29,913.19,939.18,883.92,837.8,802.85,852.18,831.52,839.38,867.76,871.42,851.25,869.23,854.5,855.3,866.06,848.13,814.44,749.21
High,973.97,979.0,955.99,959.0,903.33,869.78,881.2,873.0,848.49,881.97,895.0,888.61,886.54,879.37,869.0,868.26,870.0,850.0,824.24,770.0
Low,933.11,901.0,907.28,874.12,815.29,788.0,787.0,808.17,816.01,830.33,862.0,850.7,845.2,849.11,852.28,834.46,847.62,803.07,725.0,688.0
Close,973.28,913.13,939.19,883.91,837.79,802.85,852.56,831.51,838.71,867.76,871.73,851.26,869.24,854.5,855.29,866.06,848.13,814.45,749.2,697.3
Volume,124697.69,183921.58,118326.12,150207.73,220171.84,180630.9,162839.94,147408.33,101298.48,136579.33,93670.266,93593.234,90095.375,58052.66,40499.715,45124.152,55235.47,89396.89,174359.3,146739.7
Open,719.85,696.51,688.5,610.92,609.9,598.77,548.57,536.72,555.0,556.38,558.83,539.2,543.86,518.8,522.41,485.21,448.2,445.37,384.11,393.08
High,739.85,714.3,702.41,620.0,626.39,609.84,562.2,558.53,567.3,590.11,578.18,544.28,546.36,537.0,525.37,491.5,465.62,448.0,411.43,418.79
Low,676.11,676.6,585.04,568.29,583.6,542.17,452.32,513.52,516.08,544.49,514.0,504.58,517.85,512.87,466.63,446.0,438.69,379.6,364.65,389.0
Close,696.52,688.49,610.91,609.9,598.77,548.82,536.73,554.99,556.38,558.78,539.19,543.85,518.8,522.41,485.2,448.22,445.49,384.1,393.08,393.37
Volume,123601.97,131807.97,205411.75,223868.62,133513.14,141331.9,661848.4,346871.22,226632.38,166074.4,140280.92,166154.4,92897.945,66874.84,178164.05,267227.8,132185.1,389069.72,445836.03,225876.97
Open,661.18,643.49,683.03,689.93,670.64,671.06,688.0,779.39,785.52,819.68,793.79,752.2,747.93,751.86,723.38,677.99,683.45,728.83,727.41,705.07
High,687.28,700.0,700.0,694.88,677.77,692.0,790.0,808.79,830.0,838.0,797.98,775.49,760.41,768.47,736.55,690.92,740.16,742.72,739.3,710.0
Low,640.7,640.25,663.31,663.42,627.42,662.67,686.97,760.55,780.8,754.8,685.18,720.33,710.0,722.12,666.0,637.12,668.25,684.36,694.76,645.0
Close,643.49,683.27,689.93,670.35,671.01,688.0,779.39,785.52,819.69,793.79,752.14,747.94,751.86,723.38,677.99,683.32,728.78,727.41,705.06,706.57
Volume,231494.02,185218.64,161273.27,165372.08,221037.44,167649.33,383795.66,253568.7,193980.6,235835.12,662607.56,240759.39,191078.36,174191.52,348059.34,267236.8,205651.02,287324.88,174369.36,182210.11
Open,696.2,715.11,696.13,640.0,576.9,602.52,584.39,585.6,569.0,512.0,567.27,557.0,577.0,579.24,590.44,619.39,591.09,608.71,606.66,605.39
High,722.6421,720.0,698.11,649.49,608.88,615.8,609.88,592.35,574.0,573.86,585.44,586.78,590.0,601.42,628.99,625.04,613.91,612.49,617.16,608.71
Low,687.42,685.94,638.27,564.03,538.97,567.45,577.93,553.0,492.5,509.98,541.9,552.72,563.73,573.39,590.0,580.0,575.68854,591.76,597.42,590.0
Close,715.5,696.13,640.0,576.89,602.52,584.42,585.6,569.0,511.98,566.98,557.01,577.0,579.24,590.44,619.4,591.09,608.71,606.67,605.39,599.9
Volume,116416.91,84900.1,202881.22,418731.34,415429.6,251313.42,135381.84,266253.03,484567.25,329835.88,198938.16,187929.97,153830.89,149629.8,126884.125,158619.48,117161.57,100342.15,106714.1,77892.39
Open,467.47,467.52,470.36,486.71,486.09,471.56,432.44,445.15,430.99,432.16,433.5,449.9,479.09,499.11,478.96,468.63,449.13,460.74,457.99,449.52
High,478.58,476.44,492.7305,496.36,487.89,473.09,447.12823,445.75,442.3,439.86,455.22,481.0,511.67,515.28,484.36,469.94,468.9,471.88,470.6,484.52
Low,458.26328,449.77,461.85,482.0,468.61,426.84,424.69,417.8,424.41,427.82,431.19,445.13,465.14,469.17,462.64,439.52,441.37,455.0,446.0,448.62
Close,467.52,470.37,486.72,486.1,471.55,432.44,445.14,431.0,432.17,433.5,449.9,479.1,499.11,478.97,468.64,449.13,460.74,457.99,449.59827,479.33
Volume,189642.62,133889.58,119610.125,109837.445,111260.06,254329.08,112403.445,136880.89,104054.03,71137.305,82150.8,205385.1,190927.66,194019.77,139452.42,170205.42,99660.98,65205.656,158254.81,166841.84
Open,470.24,469.14,466.3,456.63,432.17,420.07,410.9,417.66,406.99,408.66,404.88,377.82,355.63,363.27,331.84,317.85,318.16,283.92,278.39,281.34
High,471.7,472.6,469.93,458.21,437.21,424.68,420.0,419.0,413.65,413.98,410.73,380.61,370.39,365.75,332.7,327.93,323.54633,283.95,304.99,299.01
Low,461.34,461.393,446.67,427.4,407.75,407.51,397.84,400.82,399.0,401.0,368.0,346.35,350.83,326.01,305.0,314.13,280.8,249.93,277.0,278.0
Close,469.25,466.47,456.65,431.98,420.03,410.89,417.72,407.0,408.75,404.95,377.82,355.62,363.27,331.65,317.84,318.16,283.92,278.38,281.27,286.92
Volume,44451.71,42392.375,133397.23,149052.72,182067.53,78955.47,148123.7,107277.0,89015.91,45616.992,190732.16,307746.97,129478.25,170085.16,231939.95,123158.48,320341.0,441709.6,386126.34,195509.73
Open,185.17465,183.17,211.09,208.49,221.48,220.18,196.03,208.36,209.83,225.0,247.81,240.99,244.7,227.84113,219.25,214.26,229.24,221.92,231.52,232.96
High,185.17465,215.19,224.21,228.08,223.7,226.77,222.0,215.83,230.0,252.0,255.0,249.68958,245.9,227.85,223.0,235.2,234.19,239.46,239.46,235.75
