Date,Open,High,Low,Close,Volume
2018-03-21,556.38,590.11,544.49,558.78,166074.40608221
2018-03-22,558.83,578.18,514.0,539.19,140280.91881079998
2018-03-23,539.2,544.28,504.58,543.85,166154.40544354
2018-03-24,543.86,546.36,517.85,518.8,92897.94811462
2018-03-25,518.8,537.0,512.87,522.41,66874.84543306
2018-03-26,522.41,525.37,466.63,485.2,178164.04412384
2018-03-27,485.21,491.5,446.0,448.22,267227.81176551
2018-03-28,448.2,465.62,438.69,445.49,132185.09338814
2018-03-29,445.37,448.0,379.6,384.1,389069.70409059996
2018-03-30,384.11,411.43,364.65,393.08,445836.02419605
2018-03-31,393.08,418.79,389.0,393.37,225876.96388515
2018-04-01,393.65,398.86,358.0,378.67,251154.25656772
2018-04-02,378.67,394.0,375.26,384.25,163254.43924284
2018-04-03,384.25,417.88,379.83,415.44,173231.08968527
2018-04-04,415.43,416.87,368.01,377.99,193737.41335265
2018-04-05,378.0,388.24,366.11,380.99,147780.85168421
2018-04-06,380.99,385.47,363.0,369.73,116460.75109338
2018-04-07,369.73,404.8,368.85104961,384.16,118299.57616505
2018-04-08,384.26,404.32,384.25,400.33,112297.50252424
2018-04-09,400.34,430.73,387.27,398.82,279686.03554166
2018-04-10,398.8,417.9,391.0,415.12,120134.22990278
2018-04-11,415.12,433.16,409.7,429.74,168074.66761918
2018-04-12,429.74,499.17,413.0,493.55,392510.72106348
2018-04-13,493.85,528.36,480.0,495.93,412117.94248776
2018-04-14,495.92,514.93,486.94,502.44,187293.10097585
2018-04-15,502.45,534.18,502.45,534.04,242134.00581811
2018-04-16,534.03,537.56,499.33,511.29,219551.29157961
2018-04-17,511.29,523.8,501.5,503.13,156511.74946715
2018-04-18,503.13,527.05,501.5,525.55,132812.62894931
2018-04-19,525.56,571.84,521.55,566.92,211501.76190532
2018-04-20,566.92,621.77,557.77,616.44,274778.88802492
2018-04-21,616.44,625.24,576.0,604.4310002000001,231367.21887973
2018-04-22,604.56,646.8,591.2,621.11,206488.15154244
2018-04-23,621.11,650.0,619.4,643.98,166780.81903052
2018-04-24,643.97,712.0,643.8,702.98,335721.7580508
2018-04-25,702.99,703.86,596.1,618.09,675420.7094094
2018-04-26,617.84,666.2,600.1,661.18,272551.71358066
2018-04-27,661.18,687.28,640.7,643.49,231494.02073156
2018-04-28,643.49,700.0,640.25,683.27,185218.64373102
2018-04-29,683.03,700.0,663.31,689.93,161273.27150968
2018-04-30,689.93,694.88,663.42,670.35,165372.08441339
2018-05-01,670.64,677.77,627.42,671.01,221037.43756121
2018-05-02,671.06,692.0,662.67,688.0,167649.33125010002
2018-05-03,688.0,790.0,686.97,779.39,383795.64598871
2018-05-04,779.39,808.79,760.55,785.52,253568.69740066
2018-05-05,785.52,830.0,780.8,819.69,193980.59863722
2018-05-06,819.68,838.0,754.8,793.79,235835.12561363
2018-05-07,793.79,797.98,685.18,752.14,662607.59300265
2018-05-08,752.2,775.49,720.33,747.94,240759.39373104
2018-05-09,747.93,760.41,710.0,751.86,191078.36571772
2018-05-10,751.86,768.47,722.12,723.38,174191.51007596
2018-05-11,723.38,736.55,666.0,677.99,348059.34587968
2018-05-12,677.99,690.92,637.12,683.32,267236.80550665
2018-05-13,683.45,740.16,668.25,728.78,205651.011096
2018-05-14,728.83,742.72,684.36,727.41,287324.85991572
2018-05-15,727.41,739.3,694.76,705.06,174369.36508007
2018-05-16,705.07,710.0,645.0,706.57,182210.11205259
2018-05-17,707.1,718.9,660.5,667.84,151284.59034906
2018-05-18,667.84,694.81,657.59,693.61,148103.49005489
2018-05-19,693.61,718.36,681.08,695.62,108307.79589208
2018-05-20,696.2,722.64206255,687.42,715.5,116416.90780677
2018-05-21,715.11,720.0,685.94,696.13,84900.10132881
2018-05-22,696.13,698.11,638.27,640.0,202881.21522983
2018-05-23,640.0,649.49,564.03,576.89,418731.33640499
2018-05-24,576.9,608.88,538.97,602.52,415429.58088385
2018-05-25,602.52,615.8,567.45,584.42,251313.41784987
2018-05-26,584.39,609.88,577.93,585.6,135381.84217918
2018-05-27,585.6,592.35,553.0,569.0,266253.03895586
2018-05-28,569.0,574.0,492.5,511.98,484567.24889533
2018-05-29,512.0,573.86,509.98,566.98,329835.86431853
2018-05-30,567.27,585.44,541.9,557.01,198938.15999515
2018-05-31,557.0,586.78,552.72,577.0,187929.96236409
2018-06-01,577.0,590.0,563.73,579.24,153830.89385341
2018-06-02,579.24,601.42,573.39,590.44,149629.79893979998
2018-06-03,590.44,628.99,590.0,619.4,126884.12223963
2018-06-04,619.39,625.04,580.0,591.09,158619.48998357
2018-06-05,591.09,613.91,575.68855078,608.71,117161.5708343
2018-06-06,608.71,612.49,591.76,606.67,100342.15171765
2018-06-07,606.66,617.16,597.42,605.39,106714.09801227
2018-06-08,605.39,608.71,590.0,599.9,77892.38888232
2018-06-09,599.9,611.74,591.3,593.2,60829.06581305
2018-06-10,593.19,593.19,496.27,523.55,316124.82442841
2018-06-11,523.55,535.65,509.08,530.77,234560.60094608
2018-06-12,530.78,544.25,483.29,494.25,263857.61773243
2018-06-13,493.74,501.11,450.1,476.15,338362.08389299
2018-06-14,476.15,526.64,459.04,519.84,389749.08511464
2018-06-15,519.9,521.62,482.17,487.27,208595.40946471
2018-06-16,487.27,503.84,483.33302387,497.02,115274.12093496
2018-06-17,496.79,508.38,493.25,497.08,76418.02741117
2018-06-18,497.0,525.7,486.96,517.64,135619.54403188
2018-06-19,517.64,548.8,515.1,538.47,166415.72547602
2018-06-20,538.47,542.16,516.63,536.26,137768.45746946
2018-06-21,536.25878835,545.3,521.43,526.11,93374.63061364
2018-06-22,526.11,526.11,448.56,461.77,335141.55583498
2018-06-23,461.77,480.64,454.27,473.47,122710.08084923
2018-06-24,473.48,475.5,421.0,455.32,282250.20716187
2018-06-25,455.32,474.42,445.3,459.0,186200.51087576
2018-06-26,459.01,461.4,428.9,429.32,183059.11490789
2018-06-27,429.32,446.88,418.65,441.65,187475.42085766
2018-06-28,441.66,443.5,417.71,420.78,148366.14406976
2018-06-29,420.32,443.04,404.99,435.7,231828.29269419
2018-06-30,435.7,464.52,435.7,453.85,171433.60337133
2018-07-01,453.85,457.07,444.66,452.03,81752.71862241
2018-07-02,452.02,482.9,443.1,476.8,186416.89168145
2018-07-03,476.8,487.44,459.78,462.01,160664.9743408
2018-07-04,462.0,482.12,451.27,467.47,143946.74692212
2018-07-05,467.47,478.58,458.26327357,467.52,189642.62658452
2018-07-06,467.52,476.44,449.77,470.37,133889.5703927
2018-07-07,470.36,492.73051397,461.85,486.72,119610.12717651
2018-07-08,486.71,496.36,482.0,486.1,109837.44227996
2018-07-09,486.09,487.89,468.61,471.55,111260.06289392
2018-07-10,471.56,473.09,426.84,432.44,254329.0727888
2018-07-11,432.44,447.12823584,424.69,445.14,112403.443476
2018-07-12,445.15,445.75,417.8,431.0,136880.88564768
2018-07-13,430.99,442.3,424.41,432.17,104054.02806135
2018-07-14,432.16,439.86,427.82,433.5,71137.30278738
2018-07-15,433.5,455.22,431.19,449.9,82150.79366675
2018-07-16,449.9,481.0,445.13,479.1,205385.10146885
2018-07-17,479.09,511.67,465.14,499.11,190927.65654572
2018-07-18,499.11,515.28,469.17,478.97,194019.76076863
2018-07-19,478.96,484.36,462.64,468.64,139452.41599655
2018-07-20,468.63,469.94,439.52,449.13,170205.42554199
2018-07-21,449.13,468.9,441.37,460.74,99660.97785516
2018-07-22,460.74,471.88,455.0,457.99,65205.65641093
2018-07-23,457.99,470.6,446.0,449.59825214,158254.81778386
2018-07-24,449.52,484.52,448.62,479.33,166841.83854373
2018-07-25,479.33,485.28,464.277554,471.89,94990.01997137
2018-07-26,471.89,484.87,458.74,462.3,87414.36846810002
2018-07-27,462.29350607,474.63,456.26,470.21,109001.08013068
2018-07-28,470.24,471.7,461.34,469.25,44451.71079917
2018-07-29,469.14,472.6,461.39300307,466.47,42392.3737818
2018-07-30,466.3,469.93,446.67,456.65,133397.237031
2018-07-31,456.63,458.21,427.4,431.98,149052.72503714
2018-08-01,432.17,437.21,407.75,420.03,182067.52571658
2018-08-02,420.07,424.68,407.51,410.89,78955.46854471
2018-08-03,410.9,420.0,397.84,417.72,148123.70735971
2018-08-04,417.66,419.0,400.82,407.0,107277.00308410001
2018-08-05,406.99,413.65,399.0,408.75,89015.9073093
2018-08-06,408.66,413.98,401.0,404.95,45616.99051634
2018-08-07,404.88,410.73,368.0,377.82,190732.15120677
2018-08-08,377.82,380.61,346.35,355.62,307746.98385968
2018-08-09,355.63,370.39,350.83,363.27,129478.25056579
2018-08-10,363.27,365.75,326.01,331.65,170085.16204712
2018-08-11,331.84,332.7,305.0,317.84,231939.95490129
2018-08-12,317.85,327.93,314.13,318.16,123158.47466686
2018-08-13,318.16,323.54631226,280.8,283.92,320341.00752781
2018-08-14,283.92,283.95,249.93,278.38,441709.59123381
2018-08-15,278.39,304.99,277.0,281.27,386126.32842879
2018-08-16,281.34,299.01,278.0,286.92,195509.72877209
2018-08-17,286.85,319.26,285.22,317.68,293820.56297136
2018-08-18,317.68,321.1,282.0,294.3,216902.87541414
2018-08-19,294.32,306.45,288.06,299.37,154968.36281748
2018-08-20,299.21,304.09,268.88,270.71,210080.81048168
2018-08-21,270.41,286.24130279,269.78,281.25,151940.15162421
2018-08-22,281.2,299.65,259.2,270.5,340766.34487866
2018-08-23,270.51,280.89,267.63133352,275.86246819,154456.94999173
2018-08-24,275.87997897,284.21,269.18,281.28,111681.29887191
2018-08-25,281.28,283.08,276.73,277.29,79039.82528383
2018-08-26,277.29,277.64,269.32,274.34,113452.69039238
2018-08-27,274.33043838,288.93,271.39,288.17,159884.75184859
2018-08-28,288.17,298.13,282.17,295.59,180503.20285639
2018-08-29,295.59,297.36,284.34,288.76,152038.44441062
2018-08-30,288.75,291.01,272.45,284.11,216231.44934968
2018-08-31,284.1,285.02,276.4,281.63,140424.14852139
